"性","セイ","名","メイ","年齢","年齢階層","性別","身長","体重","bmi","所在地","最終学歴","専攻学科","職業","給料","配偶状況","初婚年齢","喫煙","飲酒","生活満足度"
"薗口","そのぐち","恋由姫","こゆき",47,"45-49","女",157.5,55.1,22.2,"島根県","高校・旧中","なし","専門的・技術的職業従事者","200万円～","有配偶",33,"吸わない","飲まない (飲めない)","やや満足"
"中丸","なかまる","麻之輔","あさのすけ",47,"45-49","男",170.2,55.3,19.1,"大阪府","高校・旧中","なし","専門的・技術的職業従事者","100万円以下","離別",33,"吸わない","ほとんど飲まない","やや不満だ"
"黒米","くろよね","改路","かいろ",53,"50-54","男",178.4,71.9,22.6,"愛知県","大学・大学院","大学 工学","輸送・機械運転従事者","500万円～","有配偶",35,"吸わない","ほとんど飲まない","やや満足"
"上北田","かみきただ","副英","ふくひで",87,"85-89","男",164.4,71.6,26.5,"鹿児島県","小学校・中学校","なし","無職その他","200万円～","有配偶",30,"吸わない","毎日","やや満足"
"上水","かみみず","大石根","いちろ",72,"70-74","女",143.4,39.9,19.4,"東京都","小学校・中学校","なし","無職その他","400万円～","有配偶",41,"吸わない","飲まない (飲めない)","やや満足"
"生木","なるき","知江子","ちえこ",46,"45-49","女",155.4,67.1,27.8,"大阪府","高校・旧中","なし","無職その他","200万円～","有配偶",28,"吸わない","週３-４日","やや満足"
"連川","つれかわ","利枝子","りえこ",15,"15-19","女",163.2,55.1,20.7,"青森県","小学校・中学校","なし","販売従事者","400万円～","未婚",NA,"吸わない","飲まない (飲めない)","満足"
"磯田","いそだ","清音","きよね",42,"40-44","女",166.3,62.2,22.5,"大阪府","高校・旧中","なし","無職その他","100万円以下","有配偶",20,"以前は吸っていたが.１か月以上吸っていない","飲まない (飲めない)","やや不満だ"
"気賀","きが","月海","つくみ",24,"20-24","女",155.1,45.9,19.1,"静岡県","高校・旧中","なし","無職その他","100万円以下","未婚",NA,"吸わない","週１-２日","やや満足"
"漣","さざなみ","愛実子","あみこ",23,"20-24","女",154.4,52,21.8,"神奈川県","高校・旧中","なし","無職その他","100万円以下","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"赤萩","あかはぎ","奈実絵","なみえ",18,"15-19","女",157.1,58.5,23.7,"千葉県","小学校・中学校","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"小田島","おだしま","遼保","はるほ",45,"45-49","女",159.9,59.3,23.2,"青森県","高校・旧中","なし","サービス職業従事者","100万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"倉永","くらなが","蘭愛","らいと",16,"15-19","女",149,47.3,21.3,"愛知県","小学校・中学校","なし","無職その他","500万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"高土居","たかどい","紫央","しおん",85,"85-89","男",167,56.9,20.4,"東京都","小学校・中学校","なし","無職その他","500万円～","死別",28,"吸わない","毎日","どちらともいえない"
"有友","ありとも","紗久羅","さくら",30,"30-34","女",154.5,51.1,21.4,"長野県","大学・大学院","大学 工学","無職その他","200万円～","未婚",NA,"吸わない","週３-４日","やや満足"
"友金","ともかね","宏定","ひろさだ",43,"40-44","男",163.8,81.6,30.4,"長野県","高校・旧中","なし","専門的・技術的職業従事者","1000万円～1500万円","有配偶",28,"吸わない","毎日","やや満足"
"茂呂","もろ","周二郎","しゅうじろう",92,"90-94","男",161.8,53.7,20.5,"北海道","大学・大学院","大学 人文科学","無職その他","200万円～","死別",43,"吸わない","月に１-３日","やや満足"
"榎瀬","えのせ","梨桜菜","りおな",68,"65-69","女",160.1,54.9,21.4,"愛知県","高校・旧中","なし","無職その他","200万円～","有配偶",32,"吸わない","飲まない (飲めない)","やや満足"
"重弘","しげひろ","佑之輔","ゆうのすけ",65,"65-69","男",175.4,73.2,23.8,"北海道","短大・高専","高専 電気工学","無職その他","300万円～","有配偶",31,"毎日吸っている","飲まない (飲めない)","やや満足"
"往蔵","おうくら","流羽葉","るうは",30,"30-34","女",161.9,48.5,18.5,"宮崎県","短大・高専","短大 社会","専門的・技術的職業従事者","100万円以下","未婚",NA,"毎日吸っている","月に１-３日","やや満足"
"明","みょう","綾梛","あやな",34,"30-34","女",158.1,47.7,19.1,"岩手県","短大・高専","短大 教育","事務従事者","200万円～","有配偶",25,"毎日吸っている","ほとんど飲まない","満足"
"内ノ倉","うちのくら","晃純","あきすみ",41,"40-44","男",174.1,60.9,20.1,"愛知県","高校・旧中","なし","事務従事者","300万円～","有配偶",31,"吸わない","週１-２日","やや満足"
"皀","くろごめ","生咲","きさき",65,"65-69","女",156,64,26.3,"愛知県","小学校・中学校","なし","無職その他","100万円～","有配偶",35,"吸わない","週３-４日","不満だ"
"深倉","ふかくら","柚莉愛","ゆりあ",38,"35-39","女",162.1,44.4,16.9,"東京都","短大・高専","短大 工業","無職その他","100万円～","有配偶",25,"毎日吸っている","週３-４日","やや満足"
"戸頃","とごろ","圭香","けいか",43,"40-44","女",160.5,57.2,22.2,"福島県","大学・大学院","大学 保健","専門的・技術的職業従事者","100万円～","有配偶",25,"吸わない","毎日","やや不満だ"
"落岩","おちいわ","健呉朗","けんごろう",45,"45-49","男",168.6,64,22.5,"千葉県","短大・高専","短大 保健","分類不能の職業","100万円以下","有配偶",30,"以前は吸っていたが.１か月以上吸っていない","毎日","満足"
"越塩","こしお","正夢","まさむ",42,"40-44","男",175.7,69.1,22.4,"山口県","大学・大学院","大学 工学","事務従事者","800万円～","有配偶",30,"吸わない","毎日","やや満足"
"池貝","いけがい","小温","こはる",46,"45-49","女",166.6,66.6,24,"栃木県","小学校・中学校","なし","分類不能の職業","100万円～","有配偶",25,"吸わない","月に１-３日","やや満足"
"下條","げじょう","鈴愛那","りあな",38,"35-39","女",152.3,46.6,20.1,"奈良県","大学・大学院","大学 社会科学","分類不能の職業","100万円～","離別",21,"吸わない","飲まない (飲めない)","やや満足"
"石森","いしもり","小宵里","こより",74,"70-74","女",149.3,58.4,26.2,"北海道","小学校・中学校","なし","無職その他","300万円～","有配偶",25,"吸わない","ほとんど飲まない","やや満足"
"近角","ちかずみ","万子","かずこ",62,"60-64","女",154.6,49.5,20.7,"大阪府","高校・旧中","なし","運搬・清掃・包装等従事者","300万円～","有配偶",21,"吸わない","飲まない (飲めない)","やや満足"
"板崎","いたさき","響子","きょおこ",44,"40-44","女",156.1,56.3,23.1,"愛知県","高校・旧中","なし","無職その他","200万円～","有配偶",35,"吸わない","週１-２日","満足"
"日域","じついき","走滋","そうじ",41,"40-44","男",182.2,57.8,17.4,"東京都","短大・高専","高専 電子制御工学","建設・採掘従事者","400万円～","有配偶",23,"毎日吸っている","飲まない (飲めない)","満足"
"舘林","たてばやし","玉国","たく",51,"50-54","男",171.8,71.1,24.1,"香川県","大学・大学院","大学 社会科学","販売従事者","200万円～","有配偶",42,"吸わない","週３-４日","やや不満だ"
"片川","かたかわ","陽彩","ひさえ",61,"60-64","女",154.3,48.1,20.2,"東京都","短大・高専","短大 社会","分類不能の職業","100万円以下","離別",32,"吸わない","飲まない (飲めない)","満足"
"大安","たいあん","文佳","あやか",40,"40-44","女",160.4,53.5,20.8,"東京都","高校・旧中","なし","販売従事者","400万円～","有配偶",27,"毎日吸っている","飲まない (飲めない)","やや満足"
"能邨","のむら","寿文","すずみ",66,"65-69","女",156.4,44.3,18.1,"神奈川県","小学校・中学校","なし","専門的・技術的職業従事者","200万円～","有配偶",26,"吸わない","週１-２日","満足"
"市古","いちご","衣音","いおん",18,"15-19","男",172.1,56,18.9,"熊本県","高校・旧中","なし","無職その他","200万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"前林","まえばやし","成人","せいじん",43,"40-44","男",168.5,87.2,30.7,"熊本県","短大・高専","短大 工業","販売従事者","1000万円～1500万円","有配偶",31,"吸わない","週１-２日","やや満足"
"柳郷","やなごう","琢真","たくま",73,"70-74","男",158.7,47.6,18.9,"神奈川県","小学校・中学校","なし","分類不能の職業","300万円～","有配偶",31,"毎日吸っている","週５-６日","満足"
"太刀野","たちの","心美","きよみ",39,"35-39","女",156.4,57.2,23.4,"鳥取県","短大・高専","短大 教育","事務従事者","300万円～","有配偶",30,"毎日吸っている","月に１-３日","やや不満だ"
"後白","ごしろ","佑穂","ゆほ",75,"75-79","女",150.1,40.3,17.9,"大阪府","高校・旧中","なし","無職その他","100万円以下","死別",26,"吸わない","飲まない (飲めない)","やや満足"
"倉若","くらわか","二輔","にすけ",61,"60-64","男",172.9,101,33.8,"宮城県","高校・旧中","なし","無職その他","100万円～","有配偶",31,"吸わない","週５-６日","やや満足"
"御神本","みかもと","鵬之進","ほうのしん",74,"70-74","男",174.7,56.5,18.5,"沖縄県","大学・大学院","大学 教育","無職その他","600万円～","有配偶",28,"以前は吸っていたが.１か月以上吸っていない","やめた","やや満足"
"厚","あつ","繭香","まゆか",46,"45-49","女",170.7,81.3,27.9,"静岡県","小学校・中学校","なし","販売従事者","300万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"峠","とうげ","研之進","けんのしん",62,"60-64","男",162.4,62.5,23.7,"東京都","大学・大学院","大学 社会科学","無職その他","300万円～","有配偶",21,"時々吸う日がある","ほとんど飲まない","やや不満だ"
"上垣内","かみごうち","照本","てるもと",51,"50-54","男",157.8,67.2,27,"神奈川県","大学・大学院","大学院 工学","生産工程従事者","400万円～","有配偶",31,"吸わない","毎日","やや満足"
"枝広","えだひろ","丙策","へいさく",80,"80-84","男",162,51.7,19.7,"岐阜県","高校・旧中","なし","農林漁業従事者","300万円～","有配偶",21,"吸わない","飲まない (飲めない)","満足"
"陣矢","じんや","桐峻","きりたか",77,"75-79","男",148.6,51.9,23.5,"群馬県","高校・旧中","なし","無職その他","500万円～","有配偶",37,"吸わない","週１-２日","不満だ"
"天石","あまいし","奈衣愛","ないあ",66,"65-69","女",153.1,53,22.6,"宮崎県","高校・旧中","なし","無職その他","100万円以下","有配偶",22,"毎日吸っている","月に１-３日","やや満足"
"小曽川","おそがわ","由美寧","ゆみね",47,"45-49","女",158,65.4,26.2,"群馬県","短大・高専","短大 教育","無職その他","300万円～","有配偶",28,"吸わない","ほとんど飲まない","満足"
"海老名","えびな","杏音","あい",62,"60-64","女",149.2,36.7,16.5,"東京都","短大・高専","短大 教育","販売従事者","400万円～","有配偶",23,"吸わない","週３-４日","満足"
"門伝","もんでん","緋菜美","ひなみ",26,"25-29","女",146.4,36.9,17.2,"福岡県","大学・大学院","大学 人文科学","事務従事者","500万円～","有配偶",25,"吸わない","ほとんど飲まない","やや満足"
"座間味","ざまみ","朱杏","しゅあん",66,"65-69","女",147.6,41.2,18.9,"静岡県","小学校・中学校","なし","無職その他","100万円～","有配偶",28,"吸わない","月に１-３日","やや満足"
"唐崎","からさき","七桜","ななさ",75,"75-79","女",153.2,45.8,19.5,"埼玉県","小学校・中学校","なし","無職その他","100万円～","有配偶",30,"吸わない","飲まない (飲めない)","やや満足"
"晴","はれまき","景龍","かげたつ",29,"25-29","男",170.8,53.7,18.4,"愛知県","大学・大学院","大学院 農学","生産工程従事者","200万円～","有配偶",27,"吸わない","ほとんど飲まない","満足"
"樹本","きもと","元接","もとつぐ",43,"40-44","男",165.7,75.5,27.5,"愛知県","大学・大学院","大学 社会科学","専門的・技術的職業従事者","400万円～","有配偶",31,"毎日吸っている","毎日","やや満足"
"三舛","みます","見静","みしず",55,"55-59","女",155.2,60.7,25.2,"奈良県","大学・大学院","大学 理学","無職その他","1000万円～1500万円","有配偶",26,"吸わない","ほとんど飲まない","やや満足"
"座馬","ざんま","亜弥留","あやる",20,"20-24","女",138,45.3,23.8,"岡山県","短大・高専","短大 人文","サービス職業従事者","200万円～","未婚",NA,"毎日吸っている","ほとんど飲まない","やや満足"
"藏川","くらかわ","懇凰","ねお",60,"60-64","男",164.6,49.9,18.4,"佐賀県","大学・大学院","大学 理学","分類不能の職業","400万円～","有配偶",30,"以前は吸っていたが.１か月以上吸っていない","週３-４日","やや満足"
"袖嶋","そでしま","烈正","れつまさ",20,"20-24","男",170.9,63.4,21.7,"長崎県","高校・旧中","なし","分類不能の職業","600万円～","未婚",NA,"吸わない","週３-４日","やや満足"
"棚部","たなべ","果梨名","かりな",88,"85-89","女",150.9,40.8,17.9,"滋賀県","小学校・中学校","なし","無職その他","100万円～","死別",32,"吸わない","飲まない (飲めない)","やや不満だ"
"杉政","すぎまさ","伸郁","のぶくに",57,"55-59","男",172.6,73.3,24.6,"高知県","高校・旧中","なし","建設・採掘従事者","400万円～","有配偶",27,"毎日吸っている","週３-４日","やや不満だ"
"免田","めんだ","万命","まめ",37,"35-39","女",159.9,59.1,23.1,"愛知県","大学・大学院","大学 保健","販売従事者","400万円～","有配偶",27,"吸わない","月に１-３日","やや満足"
"青鹿","あおしか","巳智子","みちこ",52,"50-54","女",158.5,40.7,16.2,"宮城県","高校・旧中","なし","サービス職業従事者","100万円～","有配偶",33,"吸わない","飲まない (飲めない)","やや不満だ"
"酢崎","すざき","妙瑚","たえこ",31,"30-34","女",164.2,59.3,22,"埼玉県","高校・旧中","なし","販売従事者","100万円～","有配偶",27,"吸わない","月に１-３日","やや満足"
"貝淵","かいふち","昭一","しょういち",75,"75-79","男",158,58.4,23.4,"大阪府","高校・旧中","なし","事務従事者","500万円～","有配偶",32,"以前は吸っていたが.１か月以上吸っていない","毎日","やや不満だ"
"寺家","じけ","唯理","ゆいり",44,"40-44","女",167.9,67.9,24.1,"東京都","高校・旧中","なし","無職その他","400万円～","有配偶",25,"時々吸う日がある","ほとんど飲まない","やや満足"
"久留宮","くるみや","治書","はるふみ",66,"65-69","男",172.2,70,23.6,"群馬県","高校・旧中","なし","運搬・清掃・包装等従事者","800万円～","有配偶",36,"吸わない","ほとんど飲まない","やや満足"
"陣崎","じんざき","幸計","ゆきかず",44,"40-44","男",171.4,68.7,23.4,"新潟県","高校・旧中","なし","無職その他","700万円～","有配偶",26,"毎日吸っている","毎日","やや満足"
"土釜","どがま","励児","れいじ",75,"75-79","男",152.6,50.8,21.8,"兵庫県","高校・旧中","なし","無職その他","400万円～","死別",27,"毎日吸っている","毎日","やや満足"
"法性","ほうしょう","吉宗","よしむね",77,"75-79","男",156.2,68.1,27.9,"栃木県","高校・旧中","なし","無職その他","1000万円～1500万円","有配偶",26,"吸わない","やめた","どちらともいえない"
"高道","たかみち","慶智","よしのり",27,"25-29","男",164,44.9,16.7,"千葉県","大学・大学院","大学 その他","無職その他","500万円～","未婚",NA,"吸わない","ほとんど飲まない","やや満足"
"埜上","のがみ","剛供","たけとも",42,"40-44","男",175.8,88.7,28.7,"長野県","大学・大学院","大学院 芸術","販売従事者","600万円～","有配偶",27,"吸わない","ほとんど飲まない","やや満足"
"百武","ひゃくたけ","華里那","かりな",31,"30-34","女",154.5,43.7,18.3,"山形県","大学・大学院","大学 社会科学","無職その他","100万円以下","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"正源寺","しょうげんじ","和史","かずふみ",24,"20-24","男",181.8,45.9,13.9,"北海道","短大・高専","短大 社会","無職その他","200万円～","未婚",NA,"毎日吸っている","飲まない (飲めない)","やや満足"
"新川","にっかわ","杏寿美","あずみ",42,"40-44","女",158.7,63.2,25.1,"福岡県","短大・高専","短大 教育","事務従事者","300万円～","有配偶",31,"毎日吸っている","飲まない (飲めない)","やや満足"
"石徹白","いしどしろ","風愛","ふうか",64,"60-64","女",150.1,48.9,21.7,"長崎県","高校・旧中","なし","無職その他","200万円～","有配偶",37,"毎日吸っている","毎日","やや満足"
"清住","きよずみ","紫我奈","しがな",20,"20-24","女",164.3,67.8,25.1,"愛知県","短大・高専","短大 教育","事務従事者","100万円以下","未婚",NA,"吸わない","週１-２日","満足"
"畑沢","はたけざわ","進呉朗","しんごろう",82,"80-84","男",141.4,49.4,24.7,"山口県","小学校・中学校","なし","無職その他","300万円～","死別",26,"吸わない","毎日","やや不満だ"
"開本","ひらきもと","祉織梨","しおり",88,"85-89","女",150.5,48.5,21.4,"福井県","高校・旧中","なし","無職その他","200万円～","死別",26,"吸わない","飲まない (飲めない)","やや不満だ"
"本武","ほんたけ","興裕","おきひろ",76,"75-79","男",158.9,62.9,24.9,"埼玉県","高校・旧中","なし","無職その他","100万円～","有配偶",25,"吸わない","ほとんど飲まない","やや満足"
"亀田","かめた","近国","ちかくに",46,"45-49","男",176.4,96.8,31.1,"京都府","大学・大学院","大学 保健","専門的・技術的職業従事者","1000万円～1500万円","有配偶",30,"毎日吸っている","飲まない (飲めない)","やや不満だ"
"中礒","なかいそ","亜結奈","あゆな",81,"80-84","女",153.9,65.4,27.6,"熊本県","小学校・中学校","なし","無職その他","300万円～","有配偶",31,"吸わない","毎日","やや満足"
"鮒","ふな","敦郎","あつろう",56,"55-59","男",159.4,75.2,29.6,"東京都","高校・旧中","なし","事務従事者","1000万円～1500万円","有配偶",26,"吸わない","やめた","やや満足"
"四阿","しあ","一之英","いちのひで",61,"60-64","男",164.6,73.4,27.1,"兵庫県","高校・旧中","なし","無職その他","100万円以下","有配偶",28,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"六田","ろくだ","風","ふう",70,"70-74","女",159.2,50.4,19.9,"静岡県","高校・旧中","なし","無職その他","300万円～","有配偶",41,"吸わない","毎日","やや満足"
"松成","まつなり","乃絵","のえ",79,"75-79","女",142,55.7,27.6,"兵庫県","高校・旧中","なし","無職その他","100万円以下","離別",25,"吸わない","飲まない (飲めない)","やや満足"
"市浜","いちはま","夢桜","めら",38,"35-39","女",159,71.3,28.2,"東京都","大学・大学院","大学 教育","無職その他","100万円～","有配偶",32,"吸わない","週５-６日","やや満足"
"下瀬","しもせ","將","もち",35,"35-39","男",174.2,36.4,12,"岩手県","短大・高専","短大 その他","無職その他","300万円～","有配偶",35,"毎日吸っている","毎日","やや満足"
"小袋","おぶくろ","莉梨亜","りりあ",30,"30-34","女",161.1,50.1,19.3,"東京都","短大・高専","短大 教育","販売従事者","300万円～","有配偶",27,"吸わない","週３-４日","満足"
"東岡","とうおか","椛美","もみ",53,"50-54","女",163.8,49.4,18.4,"神奈川県","短大・高専","短大 教育","運搬・清掃・包装等従事者","100万円～","有配偶",20,"吸わない","月に１-３日","やや満足"
"柿栖","かきす","重之進","しげのしん",45,"45-49","男",165.9,64.7,23.5,"熊本県","大学・大学院","大学 工学","管理的職業従事者","400万円～","有配偶",33,"以前は吸っていたが.１か月以上吸っていない","週１-２日","やや満足"
"都嶋","つしま","愛願","あいね",79,"75-79","女",141.2,48,24.1,"埼玉県","高校・旧中","なし","無職その他","100万円以下","死別",31,"吸わない","飲まない (飲めない)","不満だ"
"木庭","きにわ","虹馬","こうま",71,"70-74","男",166.3,75.5,27.3,"神奈川県","高校・旧中","なし","農林漁業従事者","200万円～","有配偶",27,"吸わない","毎日","やや満足"
"永房","ながふさ","晴武","はた",64,"60-64","男",160.4,56.1,21.8,"千葉県","大学・大学院","大学 社会科学","分類不能の職業","100万円～","有配偶",30,"毎日吸っている","ほとんど飲まない","やや不満だ"
"次家","つぎいえ","詩乃舞","しのぶ",84,"80-84","女",153,43.5,18.6,"大阪府","高校・旧中","なし","無職その他","300万円～","死別",21,"吸わない","飲まない (飲めない)","満足"
"阪埜","ばんの","開祐","へいすけ",85,"85-89","男",159.5,72.8,28.6,"秋田県","高校・旧中","なし","無職その他","1000万円～1500万円","有配偶",33,"吸わない","毎日","やや満足"
"猪原","いのはら","駒子","こまこ",36,"35-39","女",143.9,50.7,24.5,"千葉県","短大・高専","短大 教育","無職その他","100万円以下","有配偶",25,"吸わない","飲まない (飲めない)","やや満足"
"井出澤","いでざわ","世志男","よしお",79,"75-79","男",166.2,61,22.1,"愛知県","大学・大学院","大学 保健","農林漁業従事者","1000万円～1500万円","有配偶",28,"吸わない","毎日","やや不満だ"
"蛇川","へびかわ","奈桜子","なおこ",20,"20-24","女",151.2,52.8,23.1,"茨城県","高校・旧中","なし","販売従事者","100万円～","未婚",NA,"吸わない","週１-２日","やや不満だ"
"矢ヶ崎","やがさき","重富","しげとよ",79,"75-79","男",161.6,68.2,26.1,"千葉県","高校・旧中","なし","無職その他","400万円～","有配偶",42,"毎日吸っている","毎日","やや不満だ"
"竺","じく","愛麗恋","みれいこ",24,"20-24","女",155.5,53,21.9,"北海道","大学・大学院","大学 家政","無職その他","400万円～","未婚",NA,"吸わない","ほとんど飲まない","満足"
"諸見","もろみ","棟影","みねかげ",61,"60-64","男",165.2,58.4,21.4,"静岡県","大学・大学院","大学院 工学","建設・採掘従事者","400万円～","有配偶",36,"吸わない","毎日","やや満足"
"又重","またしげ","奈依","なえ",38,"35-39","女",161.4,58.4,22.4,"鹿児島県","短大・高専","短大 社会","無職その他","100万円以下","有配偶",27,"吸わない","ほとんど飲まない","満足"
"川原口","かわらぐち","将弘","まさひろ",67,"65-69","男",173.2,64.5,21.5,"群馬県","大学・大学院","大学 社会科学","サービス職業従事者","800万円～","有配偶",28,"吸わない","飲まない (飲めない)","やや満足"
"久木留","くきどめ","來々","きき",50,"50-54","女",171.3,59.9,20.4,"新潟県","高校・旧中","なし","専門的・技術的職業従事者","200万円～","有配偶",28,"吸わない","ほとんど飲まない","やや不満だ"
"坊野","ぼうの","唯音","ゆいね",39,"35-39","女",162.1,73,27.8,"島根県","短大・高専","短大 教育","無職その他","100万円以下","有配偶",28,"吸わない","ほとんど飲まない","やや不満だ"
"八上","やかみ","貴花","きか",63,"60-64","男",167.6,66.6,23.7,"岐阜県","大学・大学院","大学 社会科学","管理的職業従事者","500万円～","有配偶",36,"以前は吸っていたが.１か月以上吸っていない","毎日","やや満足"
"長迫","ながさこ","也平","やへい",70,"70-74","男",154.5,69,28.9,"鹿児島県","大学・大学院","大学院 工学","無職その他","500万円～","有配偶",30,"毎日吸っている","飲まない (飲めない)","やや満足"
"寿","ことぶき","真皓","ましろ",15,"15-19","男",170.3,47.3,16.3,"群馬県","小学校・中学校","なし","無職その他","500万円～","未婚",NA,"吸わない","飲まない (飲めない)","やや満足"
"白尾","しらお","優虹","ゆに",34,"30-34","女",152.6,41.9,18,"東京都","短大・高専","短大 教育","サービス職業従事者","200万円～","有配偶",31,"吸わない","ほとんど飲まない","やや不満だ"
"利根川","とねがわ","朋志","ともゆき",42,"40-44","男",162.2,77.6,29.5,"兵庫県","高校・旧中","なし","専門的・技術的職業従事者","1000万円～1500万円","有配偶",27,"吸わない","週１-２日","満足"
"苗代","なえしろ","祈和","いなぎ",73,"70-74","男",147.7,39.9,18.3,"新潟県","大学・大学院","大学 社会科学","無職その他","600万円～","離別",30,"吸わない","毎日","やや不満だ"
"本登","ほんと","理椰","まさや",28,"25-29","男",182.1,88.5,26.7,"広島県","大学・大学院","大学 社会科学","サービス職業従事者","400万円～","有配偶",28,"吸わない","週１-２日","やや満足"
"舛谷","ますたに","淳司","あつし",80,"80-84","男",177,94.3,30.1,"神奈川県","小学校・中学校","なし","無職その他","400万円～","有配偶",21,"吸わない","毎日","やや不満だ"
"弾","だん","茂康","しげやす",40,"40-44","男",184.1,80.3,23.7,"北海道","高校・旧中","なし","サービス職業従事者","400万円～","有配偶",28,"時々吸う日がある","毎日","やや満足"
"村木","むらき","広陽","ひろあき",80,"80-84","男",162.7,64.9,24.5,"栃木県","高校・旧中","なし","無職その他","600万円～","死別",25,"吸わない","毎日","やや不満だ"
"片渕","かたぶち","元周","もとちか",62,"60-64","男",161.3,39.5,15.2,"熊本県","高校・旧中","なし","専門的・技術的職業従事者","300万円～","有配偶",27,"吸わない","週５-６日","やや満足"
"所谷","ところだに","武禎","たけさだ",34,"30-34","男",176.5,80.4,25.8,"東京都","短大・高専","短大 社会","運搬・清掃・包装等従事者","100万円～","有配偶",26,"以前は吸っていたが.１か月以上吸っていない","月に１-３日","やや満足"
